TIME TABLE FOR Spring 2019 SEMESTER [CS Department] <V1.9>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periods,,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,40,50,60,10,20,30,10,20,30,40,50,60,
Days,Room,8:00 a.m.,,,,,,9:00 a.m.,,,,,,10:00 a.m.,,,,,,11:00 a.m.,,,,,,12:00 noon,,,,,,1:00 p.m.,,,,,,2:00 p.m.,,,,,,3:00 p.m.,,,,,,4:00 p.m.,,,,,,5:00 p.m.,,,,,,6:00 p.m.,,,,,,7:00 p.m.,,,,,,8:00 p.m.,,,,,,7:00 p.m.,,,,,,8:00 p.m.,,,7:00 p.m.,,,,,,
Monday,CS-1,Machine Learning (MS-DS),,,,,,,,,Advanced Programming (CS),,,,,,,,,Computational Intelligence (MS),,,,,,,,,Data Sceince (MS),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-2,-1,,,,,,,,,-1,,,,,,,,,Software Testing (CS-A),,,,,,,,,Human Computer Interaction (CS-F),,,,,,,,,Human Computer Interaction (CS-C),,,,,,,,,-1,,,,,,,,,Requirement Engineering (MS-SPM-B),,,,,,,,,Requirement Engineering (MS-SPM-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-3,Technical & Business Writing (CS-C),,,,,,,,,Numerical Methods (CS-B),,,,,,,,,Computer Architecture (CS-B),,,,,,,,,Numerical Methods (CS-A),,,,,,,,,Computer Architecture (CS-A),,,,,,,,,Differential Equations Cal II (CS-F),,,,,,,,,Calculus-II (CS-R),,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-4,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,Software for Mobile Devices (CS-A),,,,,,,,,-1,,,,,,,,,Software for Mobile Devices (CS-B),,,,,,,,,Research Meeting – Dr. Zeeshan Ali Rana,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-5,Mass Communication (CS),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,Comp. Org. & Assembly L. (CS-C),,,,,,,,,-1,,,,,,,,,Pakistan Studies (CS-B),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-6,Applied Physics (CS-H),,,,,,,,,Applied Physics (CS-G),,,,,,,,,Calculus and Ana. Geometry (CS-G),,,,,,,,,Calculus and Ana. Geometry (CS-H),,,,,,,,,Sociology (CS-B),,,,,,,,,Sociology (CS-A),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-7,Professional Issues in IT (CS-A),,,,,,,,,Professional Issues in IT (CS-B),,,,,,,,,Comp. Org. & Assembly L. (CS-A),,,,,,,,,Comp. Org. & Assembly L. (CS-B),,,,,,,,,French Language (CS-A),,,,,,,,,French Language (CS-B),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-8,Numerical Methods (CS-C),,,,,,,,,-1,,,,,,,,,Design & Analysis of Algorithms (CS-C),,,,,,,,,Design & Analysis of Algorithms (CS-D),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-9,Total Quality Management (CS),,,,,,,,,Database Systems (CS-A),,,,,,,,,Database Systems (CS-B),,,,,,,,,Design & Analysis of Algorithms (CS-E),,,,,,,,,Network Security (CS),,,,,,,,,Database Systems (CS-E),,,,,,,,,-1,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
